remaining_distance_km,cargo_weight_tons,vehicle_type,hour_of_day,day_of_week,incident_count,security_risk_level,average_speed_kmh,target_remaining_minutes
112.26,28.3,2,4,0,0,0,44.8,165.0
759.04,32.4,3,15,5,0,0,55.2,839.3
859.81,6.5,1,1,6,0,0,53.4,973.3
478.69,44.6,3,15,2,1,0,47.1,636.9
787.3,6.9,3,10,2,0,0,49.1,980.7
681.54,40.8,2,10,1,0,0,49.5,826.5
482.16,37.0,3,13,0,0,1,57.5,527.9
281.45,9.1,2,21,2,0,0,53.6,307.5
633.89,19.1,1,23,6,0,0,54.5,689.4
589.13,36.7,1,2,5,0,0,47.4,762.1
624.68,43.1,1,19,5,0,0,61.8,607.5
712.88,19.7,2,18,0,0,1,56.8,751.6
351.09,35.5,3,4,4,1,0,45.8,503.9
874.86,6.0,1,15,4,0,2,55.5,992.3
251.66,22.9,3,9,5,0,0,63.1,239.6
779.02,23.1,3,14,0,1,1,71.5,706.6
614.38,33.4,3,17,2,3,0,66.1,647.5
845.32,30.5,2,16,1,0,0,51.7,987.3
723.43,6.1,3,18,2,1,0,60.5,751.8
806.98,7.6,2,22,5,0,1,48.4,1031.9
531.66,10.0,2,20,0,0,0,57.1,548.7
801.38,36.2,3,18,1,0,0,63.5,767.5
792.71,38.3,3,4,2,0,0,41.2,1171.4
327.96,42.6,2,2,2,0,0,45.7,428.0
576.27,29.6,1,16,5,1,0,53.7,676.4
606.27,33.8,3,10,6,2,0,69.6,598.8
92.29,42.9,3,8,5,0,1,47.8,133.6
46.95,40.6,3,9,5,0,2,58.3,100.6
629.64,16.9,1,22,0,0,2,42.1,954.1
322.77,10.7,3,10,5,0,1,65.2,332.0
696.99,25.6,1,10,1,0,2,56.9,794.0
106.16,16.6,2,19,3,0,0,55.7,109.1
311.42,28.1,2,6,6,2,0,55.4,406.9
802.38,24.9,1,12,4,0,0,57.3,856.0
63.31,16.3,3,20,5,0,0,52.4,67.2
403.53,40.3,3,11,6,0,1,55.8,460.0
520.02,19.5,2,2,3,0,0,50.6,606.9
900.29,32.2,1,4,0,2,1,48.2,1205.2
855.66,35.2,1,19,4,0,0,56.1,916.0
655.1,37.2,3,14,1,0,0,55.7,704.6
565.63,11.5,3,23,6,0,0,44.9,775.1
493.78,33.3,2,15,6,0,0,48.6,614.7
390.72,17.3,3,22,5,3,2,35.1,827.9
716.78,36.0,3,7,5,0,0,46.0,936.7
661.85,36.0,2,4,6,0,1,58.8,706.1
117.81,5.8,2,13,1,0,0,59.1,133.2
564.22,23.9,3,23,0,2,1,49.3,779.9
908.33,24.1,2,10,1,2,0,53.5,1085.6
621.52,39.7,3,20,6,0,0,58.1,636.8
239.4,27.3,1,9,6,2,1,55.4,372.4
302.17,19.0,3,8,2,0,0,51.0,345.0
892.34,37.7,1,9,0,0,1,52.6,1032.1
413.71,15.3,2,6,1,3,0,63.4,511.8
261.74,9.4,3,18,1,0,0,53.3,281.7
587.77,7.1,2,10,5,2,1,58.2,695.0
878.42,44.1,1,13,5,1,0,65.5,830.2
197.52,43.6,2,9,5,0,0,49.6,221.6
226.68,34.5,1,5,3,0,1,58.1,283.2
907.48,20.9,2,5,5,1,2,63.0,938.3
28.25,27.7,1,10,2,3,0,54.5,124.8
811.44,10.4,3,14,2,1,1,55.5,941.9
428.43,15.3,1,0,5,1,0,46.8,601.5
191.91,29.4,3,12,6,0,0,54.8,220.8
104.89,44.3,2,10,1,2,0,45.7,216.4
257.62,18.2,3,23,4,0,0,39.9,372.2
75.29,9.7,2,5,3,0,0,59.7,64.0
705.16,32.6,3,9,2,0,0,59.2,721.0
156.34,34.9,3,11,3,0,0,64.4,135.1
733.78,38.0,1,21,6,0,1,59.0,757.0
490.07,19.5,3,3,0,0,0,57.2,509.4
497.63,11.6,3,14,0,1,0,61.1,510.1
820.01,22.8,1,14,1,0,0,57.2,861.3
431.52,37.3,3,0,3,1,0,46.9,587.2
85.0,21.9,3,2,4,1,0,59.0,119.6
851.06,6.3,2,5,6,0,0,42.6,1183.6
877.77,20.0,2,14,6,0,0,64.0,826.3
878.09,40.0,1,20,6,0,0,55.6,961.0
490.67,34.1,1,0,6,2,0,40.0,823.1
504.56,26.3,1,7,3,0,0,54.1,587.5
665.27,9.5,3,13,4,0,0,63.8,624.2
203.41,9.0,1,14,4,1,1,63.5,245.7
59.37,22.6,3,6,6,0,1,67.1,83.0
277.44,37.6,3,18,2,0,0,58.7,261.6
230.84,40.1,3,16,1,0,2,54.5,319.3
546.58,34.4,1,20,5,0,0,47.7,688.4
858.01,31.9,3,10,5,0,0,57.6,903.2
691.43,23.9,1,9,6,0,0,63.5,628.3
520.52,43.7,3,16,1,0,0,54.2,587.0
90.37,23.0,2,2,4,0,0,54.4,108.5
619.57,29.1,1,6,6,0,0,61.0,594.3
446.66,39.8,2,9,0,1,0,53.7,552.4
684.72,35.2,1,22,4,0,0,50.4,820.5
306.24,16.3,2,17,5,0,0,56.0,342.5
462.58,8.9,3,15,6,0,0,67.1,407.7
388.4,27.5,1,23,1,0,0,38.1,606.4
660.81,16.8,1,10,1,0,0,58.3,667.9
602.6,32.4,2,15,5,0,0,57.6,628.1
727.53,11.8,3,17,3,0,0,60.9,693.4
871.94,26.0,1,21,0,0,0,57.0,929.9
225.98,33.3,1,6,4,0,0,60.3,231.2
851.17,41.5,3,15,0,1,1,48.0,1123.4
491.18,16.0,2,0,4,0,0,53.1,535.7
829.7,9.3,1,16,1,1,0,53.4,961.0
335.45,36.8,1,11,3,0,0,56.3,376.0
286.98,38.1,1,20,6,0,0,62.0,280.1
355.68,24.0,3,0,5,0,0,41.4,515.5
718.09,27.6,1,16,0,0,0,57.0,745.2
524.44,15.8,1,21,2,0,0,64.3,488.2
846.6,17.6,1,18,1,1,1,61.8,870.2
88.47,11.5,1,18,6,0,0,62.9,71.0
361.62,34.6,3,23,0,0,0,49.9,434.2
409.01,38.5,2,19,6,0,0,51.9,455.0
310.48,30.4,2,15,1,0,0,58.0,316.6
624.93,31.4,1,19,2,0,0,61.7,602.9
157.26,33.5,3,4,5,0,0,46.4,207.4
859.23,22.8,2,3,1,0,1,39.9,1323.5
476.07,9.1,1,11,4,0,0,50.5,559.5
362.86,16.7,2,2,5,1,0,63.8,357.6
529.04,11.8,2,5,1,0,0,47.1,680.6
168.81,16.0,2,15,6,0,0,51.8,204.6
576.28,28.8,1,14,0,0,0,54.6,633.8
769.04,20.2,2,14,2,0,0,59.0,766.5
549.01,17.0,3,22,1,0,0,51.5,650.5
304.03,34.4,3,15,4,0,2,60.3,361.2
719.42,19.6,3,6,4,0,0,68.4,649.6
43.96,34.1,3,6,3,0,0,62.3,38.4
774.53,36.8,3,15,1,0,0,59.1,803.9
656.56,36.6,1,14,4,0,0,53.5,744.7
839.15,32.7,3,1,6,0,1,54.9,921.2
548.5,41.6,1,7,5,0,0,61.0,553.8
521.27,30.8,3,12,6,0,2,55.0,613.2
107.76,13.9,3,16,4,0,0,57.2,107.1
368.11,35.9,3,22,4,2,1,46.7,567.7
282.93,41.8,1,3,6,1,0,57.0,340.9
425.25,13.3,2,11,3,0,0,51.8,479.6
79.79,6.8,3,3,0,2,0,54.3,143.7
166.28,44.4,1,16,1,0,0,55.3,191.5
431.23,36.9,3,5,1,1,0,50.3,550.6
566.56,12.9,3,13,3,0,0,51.5,669.5
646.35,36.8,3,3,6,0,0,55.7,706.1
427.22,15.5,2,16,5,0,0,53.3,488.6
121.67,19.1,2,19,1,0,0,62.6,106.9
566.89,8.4,1,10,0,0,0,57.2,602.4
145.81,20.5,3,4,4,0,0,50.0,190.7
637.16,30.8,1,17,1,0,0,58.8,658.2
421.39,7.1,2,0,3,0,2,48.6,541.9
469.84,24.8,3,15,3,0,1,59.5,501.3
523.2,36.8,1,9,0,0,0,51.4,609.0
427.02,34.7,2,17,4,1,0,54.6,517.9
752.72,19.7,1,23,3,0,0,52.4,861.5
758.76,35.1,2,1,3,0,1,45.9,1012.9
790.11,9.7,1,6,6,1,2,60.7,843.9
563.13,22.1,3,4,6,0,0,45.6,745.0
332.23,16.2,3,5,2,2,0,57.2,433.6
867.63,25.6,3,3,1,0,0,58.6,862.1
903.31,39.7,1,22,6,0,1,44.2,1259.6
240.32,38.7,2,15,1,0,0,57.4,263.5
422.27,30.3,1,12,4,0,0,59.2,404.9
424.68,24.5,3,0,6,0,1,53.7,480.2
428.02,31.6,2,2,6,0,0,50.4,522.0
208.55,15.7,2,10,4,0,1,56.7,240.1
325.93,32.3,1,1,0,0,1,51.4,403.6
847.2,11.3,2,0,3,0,0,45.6,1108.8
598.5,11.4,2,2,5,0,0,52.6,691.5
597.53,7.1,3,9,5,1,0,63.0,621.5
646.29,5.0,2,2,1,0,1,49.8,802.1
27.18,18.7,1,13,5,0,0,55.1,34.7
670.38,9.1,2,11,2,2,0,54.1,793.6
138.5,44.7,1,2,4,0,1,47.7,194.6
332.56,13.5,3,4,3,0,0,50.7,396.5
817.97,10.6,1,18,5,0,0,59.7,819.7
144.45,16.1,1,7,4,0,0,59.7,135.5
857.74,6.1,3,9,1,1,0,54.8,972.9
283.03,7.2,1,15,3,0,0,49.1,345.9
490.17,44.1,2,10,1,0,0,55.9,515.5
506.26,11.9,2,2,0,0,0,54.4,559.1
841.1,42.9,2,16,2,1,1,55.1,975.8
644.61,8.3,3,17,4,0,1,54.8,733.2
839.62,44.0,1,17,2,0,1,50.6,1003.6
626.14,7.6,3,13,5,0,0,66.7,572.2
842.92,9.6,3,19,0,1,0,55.8,921.7
126.3,33.3,3,0,1,0,0,46.9,173.5
752.03,15.4,2,4,5,1,0,54.4,889.3
706.57,6.2,2,8,4,0,0,51.5,807.9
88.59,23.2,2,1,3,0,0,56.6,100.0
708.26,40.8,3,23,0,0,1,43.1,1010.8
788.01,14.8,2,11,3,0,0,68.7,715.7
51.47,37.1,3,23,5,0,1,46.1,103.2
661.06,15.9,1,18,2,0,0,52.0,759.3
218.63,25.6,1,12,0,0,0,67.2,179.8
296.52,8.5,2,0,2,0,1,44.1,424.4
574.22,23.6,3,15,6,2,0,61.9,611.6
728.42,11.0,2,0,1,0,1,48.7,908.5
28.54,18.4,3,12,6,1,0,61.5,70.5
894.97,21.8,1,4,5,0,0,48.6,1107.3
772.5,21.5,2,14,5,0,0,52.8,881.5
749.77,8.0,3,1,3,2,1,55.6,911.4
777.31,42.0,2,22,6,0,0,51.0,923.2
86.47,13.1,3,3,1,3,1,42.1,256.5
127.46,19.3,1,14,2,0,1,58.5,151.5
738.76,17.2,3,22,4,1,0,44.5,1021.9
101.18,14.9,2,12,4,0,0,49.8,143.1
174.74,43.1,2,17,5,0,0,58.1,183.6
726.49,9.9,1,7,1,1,0,50.6,907.1
854.44,8.4,3,8,6,0,0,54.4,942.3
594.93,37.4,1,10,0,0,1,47.6,776.7
530.76,37.9,2,15,0,0,0,52.2,615.1
828.39,16.0,2,4,0,1,0,49.2,1033.6
464.01,40.3,2,1,0,0,0,46.2,608.7
807.34,26.0,3,17,6,0,0,46.5,1054.5
446.92,36.3,2,18,4,0,0,53.8,501.2
551.43,6.2,2,1,6,2,0,54.3,675.5
909.65,44.0,1,7,5,0,0,46.8,1161.8
675.98,35.6,1,18,6,0,0,59.2,703.2
902.47,11.9,1,18,2,0,2,61.7,902.5
45.1,33.0,3,18,1,0,0,61.5,77.0
804.65,24.7,2,5,3,0,2,46.2,1100.6
37.74,24.1,2,19,1,0,0,61.7,43.0
734.16,39.7,1,0,1,0,0,54.3,800.9
773.37,39.4,1,11,5,0,1,62.5,770.8
288.57,10.5,1,23,3,0,0,59.9,284.8
175.04,43.7,3,19,6,0,0,51.0,186.9
356.76,34.4,2,4,1,0,0,59.5,350.5
368.53,44.8,3,1,1,1,0,56.6,410.7
216.6,27.6,2,4,2,0,0,54.1,274.2
169.42,40.4,1,22,5,0,0,53.1,182.9
256.04,15.0,1,11,2,0,0,63.1,239.8
410.02,21.8,1,13,3,1,1,62.4,463.6
757.64,36.5,3,20,6,0,0,60.4,756.6
772.73,16.8,2,8,0,0,0,53.1,883.3
671.47,26.9,1,10,4,0,0,69.0,572.2
403.88,31.1,3,13,1,1,0,46.1,589.0
384.26,27.2,3,17,2,0,0,59.8,390.7
369.68,27.0,2,4,0,0,0,45.1,496.2
609.2,29.0,1,3,0,0,0,39.4,902.6
441.48,9.6,2,15,3,1,0,65.1,459.0
364.9,19.8,2,11,1,0,0,57.1,396.8
221.36,15.7,1,4,6,0,0,57.4,241.6
739.28,21.6,3,7,4,1,1,48.3,987.9
879.41,32.5,2,18,1,1,0,62.4,892.9
655.73,25.1,3,18,5,0,0,69.9,586.3
419.65,43.0,1,6,6,0,1,52.4,506.8
627.98,13.1,3,4,6,0,0,50.3,766.6
738.54,8.5,3,12,4,0,0,55.9,805.8
797.38,36.5,3,18,4,0,0,62.6,768.7
524.27,28.3,1,3,4,0,1,55.3,570.3
803.32,40.1,2,12,5,1,0,55.6,899.8
265.12,10.8,3,21,5,0,0,52.6,317.4
634.56,7.0,2,8,2,0,0,52.7,713.2
269.51,24.7,3,21,0,0,0,65.7,256.2
681.91,36.0,2,8,5,0,0,54.3,747.4
208.14,38.0,3,15,6,0,1,56.2,250.1
724.43,7.6,3,16,3,1,0,57.2,775.0
45.76,12.7,1,1,1,1,0,46.1,98.1
197.21,19.7,2,16,3,1,0,60.9,231.4
351.5,28.8,1,15,4,0,0,55.1,401.7
250.21,38.2,1,9,0,0,0,56.8,277.7
878.78,39.3,3,7,5,0,0,49.7,1049.2
789.52,43.7,3,0,3,0,1,52.3,917.8
27.53,15.1,2,22,5,3,0,50.4,143.1
330.35,15.1,2,9,5,0,0,56.2,341.5
26.54,45.0,2,17,5,0,1,56.6,71.0
448.75,18.5,2,20,2,0,0,63.8,440.9
814.21,17.0,1,16,6,0,0,59.9,823.8
740.93,21.2,2,21,1,0,1,55.8,787.3
250.89,21.7,2,23,0,0,0,56.9,263.8
325.42,33.5,3,17,5,0,1,65.3,314.1
471.51,38.8,3,17,1,1,0,48.4,623.1
665.42,27.4,1,21,2,0,0,60.4,669.4
795.57,21.8,2,11,2,0,1,58.0,849.4
67.77,30.4,3,19,0,0,0,57.4,76.5
625.82,26.2,2,1,6,0,0,56.6,669.5
384.18,27.8,2,4,2,0,0,55.8,417.6
316.04,44.5,2,20,0,0,0,47.4,420.1
170.06,35.6,2,2,1,0,0,48.6,200.9
879.14,20.3,1,17,1,0,0,67.9,769.0
693.59,26.2,1,21,0,1,0,59.7,750.5
326.47,10.2,2,16,4,0,0,56.8,346.3
864.13,23.2,3,19,4,0,1,62.9,823.8
325.03,41.1,2,6,1,1,0,66.2,323.6
223.29,34.1,1,6,5,0,0,47.8,280.1
652.89,36.7,2,20,2,0,0,58.2,661.8
62.68,9.3,1,1,5,0,0,43.6,88.4
244.94,33.1,1,22,5,0,0,49.7,312.5
609.61,15.8,3,22,1,0,0,52.2,692.2
569.75,16.3,1,15,1,1,0,61.3,570.4
886.08,19.3,2,9,1,0,0,48.9,1087.4
850.48,18.2,1,0,5,0,1,46.8,1125.4
459.75,43.0,3,2,5,1,0,55.3,524.1
426.51,44.1,2,14,0,0,0,50.1,513.8
278.6,37.1,2,13,5,0,0,54.3,287.6
28.61,10.5,3,5,2,2,0,44.9,114.6
801.84,8.7,2,5,0,2,0,52.0,993.0
363.29,39.0,2,20,6,0,0,54.5,414.2
893.6,38.8,1,13,4,1,0,53.4,1033.6
564.08,36.2,3,0,6,1,0,56.0,611.9
136.28,41.8,1,13,3,0,1,48.8,203.0
647.07,32.1,3,18,5,0,0,62.6,617.7
321.09,25.9,3,19,0,0,2,56.1,379.8
610.7,30.7,1,17,4,2,0,49.1,810.8
775.47,39.1,1,2,6,1,1,48.8,1045.2
64.81,13.9,3,12,3,0,0,66.7,64.5
530.0,8.5,2,14,2,2,0,48.8,721.9
111.35,21.5,3,17,0,0,0,65.3,72.5
587.41,40.6,3,6,5,2,2,61.8,686.8
68.3,13.9,2,10,4,2,0,59.2,128.0
343.33,23.1,1,21,1,1,1,47.4,508.0
731.92,26.9,2,22,0,0,1,43.2,1047.2
658.0,33.9,1,8,4,0,0,56.4,716.1
211.87,38.0,1,22,2,0,0,36.5,362.3
765.34,28.6,2,14,5,0,0,51.2,896.1
23.86,34.4,3,13,6,0,0,63.0,15.0
830.06,32.7,1,23,6,0,0,40.1,1252.6
805.6,25.2,2,13,4,0,0,64.6,738.7
877.6,43.8,2,4,1,0,0,45.2,1146.0
286.03,33.1,2,22,5,1,0,54.7,342.8
575.51,16.6,2,21,1,0,0,61.8,534.3
468.47,32.8,2,22,0,1,0,49.6,595.6
858.98,33.4,3,23,6,1,0,51.8,1021.2
31.37,9.3,2,4,0,2,0,55.4,123.0
163.23,16.5,2,4,6,3,0,44.0,319.7
501.64,19.3,2,3,4,1,0,55.8,550.4
680.75,27.5,1,16,6,0,0,60.8,654.4
61.81,20.3,2,21,2,1,2,70.3,144.3
